Date,rv_true,garch_rv,har_rv
2024-04-10,5.883729624619282e-05,1.077175119478448e-05,7.334014593258463e-06
2024-04-11,1.0218894460934788e-05,1.5844391086036998e-05,1.1955210847049677e-05
2024-04-12,3.5966010840404875e-05,1.5183636578805279e-05,1.158002310187961e-05
2024-04-15,6.593199786421269e-06,1.7552414262449733e-05,1.4142760000470198e-05
2024-04-16,8.769315469495492e-06,1.6820224419677762e-05,1.3194789378988556e-05
2024-04-17,1.7156911698686333e-05,1.600865296994948e-05,1.3675508669069145e-05
2024-04-18,7.427806978071164e-06,1.665603744468484e-05,1.1997330577050008e-05
2024-04-19,1.442112174749442e-05,1.6275867701215793e-05,1.1520860493282927e-05
2024-04-22,7.02907143972012e-06,1.563228068617188e-05,1.0149428338593426e-05
2024-04-23,1.682248318365234e-05,1.4913742028192603e-05,9.678019287544238e-06
2024-04-24,4.223607019911082e-06,1.5280934097476475e-05,1.0600595937137115e-05
2024-04-25,1.1551254862841192e-05,1.4591198344595042e-05,9.188611478830224e-06
2024-04-26,1.986401650612653e-05,1.4388724201231409e-05,9.93229958518057e-06
2024-04-29,6.2255802402095225e-06,1.4265432060528105e-05,1.0814736564879947e-05
2024-04-30,1.5392763948722547e-05,1.3943593981117955e-05,1.030367794609943e-05
2024-05-01,2.195062515827828e-05,1.4476988262154035e-05,1.0699297538752356e-05
2024-05-02,9.982701550378873e-06,1.495479221489374e-05,1.2226866385686112e-05
2024-05-03,2.4591099608019358e-05,1.4323627296532352e-05,1.1811117577026797e-05
2024-05-06,3.916905247491696e-06,1.431008833218741e-05,1.2641951805184183e-05
2024-05-07,4.854184211802835e-06,1.3705073360073406e-05,1.1690003085006568e-05
2024-05-08,1.595432699977944e-06,1.3194191471477661e-05,1.0999972629095354e-05
2024-05-09,1.1453712067997802e-05,1.2651047914003882e-05,9.043797618750846e-06
2024-05-10,2.7589082354903477e-06,1.2667770158988139e-05,9.905322293266215e-06
2024-05-13,5.2884830811349935e-06,1.218903819993637e-05,6.663950587934587e-06
2024-05-14,1.0663192566996477e-05,1.1865026818362017e-05,6.906958362725707e-06
2024-05-15,1.6329922613980832e-05,1.1757110326726678e-05,7.32917390671806e-06
2024-05-16,5.10245914964039e-06,1.3006769912250568e-05,8.852291082284443e-06
2024-05-17,5.60551522657427e-06,1.2557899915487358e-05,7.955969713844257e-06
2024-05-20,2.784619101272131e-06,1.2036735822308174e-05,8.02419175287121e-06
2024-05-21,3.331711748685047e-06,1.1594111871333374e-05,7.572876575225218e-06
2024-05-22,6.551749360135324e-06,1.1119598076465578e-05,6.861214757311749e-06
2024-05-23,9.98731989516849e-06,1.1063557149645773e-05,6.082760515879224e-06
2024-05-24,8.409505757489305e-06,1.0630882418034222e-05,6.568583878164808e-06
2024-05-27,2.1991404089480796e-06,1.0646628591642089e-05,6.850104693347854e-06
2024-05-28,4.31574710466653e-06,1.0295604198976955e-05,6.357039204781555e-06
2024-05-29,1.103605236191618e-05,9.880281261395008e-06,6.350257192345424e-06
2024-05-30,9.946535280784904e-06,1.0747694657659039e-05,7.00660604675496e-06
2024-05-31,1.5939294572081836e-05,1.074755409214429e-05,6.8855540537853e-06
2024-06-03,1.7371017093089792e-05,1.0447530993314062e-05,7.4483599710955846e-06
2024-06-04,9.886664510315163e-06,1.122441229505618e-05,8.600794756489009e-06
2024-06-05,4.222313063845941e-06,1.0983534380643437e-05,8.428318349609166e-06
2024-06-06,4.752915555210058e-06,1.0566919536737906e-05,7.826120172028877e-06
2024-06-07,3.231517010516787e-05,1.0326496800722592e-05,7.557456515142814e-06
2024-06-10,7.54578287291018e-06,1.3000591002893635e-05,9.733467637112915e-06
2024-06-11,9.483538970936631e-06,1.2982217655629014e-05,8.61588163158559e-06
2024-06-12,4.28939213600992e-05,1.2661465464013022e-05,8.79331784922581e-06
2024-06-13,2.1715481137328896e-05,1.417771296379043e-05,1.2314188615658622e-05
2024-06-14,1.8999866233604573e-05,1.5600404740424078e-05,1.3113688062656557e-05
2024-06-17,8.30488760257032e-06,1.531841219575102e-05,1.2468368211848181e-05
2024-06-18,8.204345242478353e-06,1.4981563925358288e-05,1.222644014030498e-05
2024-06-19,2.6487077106968984e-06,1.4317592653650619e-05,1.221399540626773e-05
2024-06-20,6.751209087069797e-06,1.3698827347680847e-05,9.524220969603962e-06
2024-06-21,7.725820520222259e-06,1.3801698669673365e-05,8.798084356261787e-06
2024-06-24,1.2272390718132128e-05,1.32319155318333e-05,7.871489138399843e-06
2024-06-25,9.02209884811997e-06,1.3439650497612732e-05,8.402443936966694e-06
2024-06-26,8.499353150934509e-06,1.3038809405747998e-05,8.396373464450753e-06
2024-06-27,7.654924335460234e-06,1.2937485185164343e-05,8.972814402663056e-06
2024-06-28,4.911125231688055e-06,1.2651770349080619e-05,9.064679049244069e-06
2024-07-01,1.0074103652907504e-05,1.2169436676877397e-05,8.608357334068091e-06
