Date,y,rw,arima,ets,lstm
2024-04-12,1.06409,1.07254,1.0581104167644726,1.045939023576946,1.0722635737466812
2024-04-15,1.0622,1.06409,1.0581104167644726,1.0458417793270216,1.063876258739233
2024-04-16,1.06178,1.0622,1.0581104167644726,1.045744535077097,1.0618504541516305
2024-04-17,1.06729,1.06178,1.0581104167644726,1.0456472908271728,1.0618874613595009
2024-04-18,1.06411,1.06729,1.0581104167644726,1.0455500465772483,1.067883277605772
2024-04-19,1.06567,1.06411,1.0581104167644726,1.0454528023273237,1.0644143174612521
2024-04-22,1.06539,1.06567,1.0581104167644726,1.0453555580773994,1.0659084498822688
2024-04-23,1.0702099999999999,1.06539,1.0581104167644726,1.045258313827475,1.0656742358136178
2024-04-24,1.06982,1.0702099999999999,1.0581104167644726,1.0451610695775506,1.0704170606744288
2024-04-25,1.07297,1.06982,1.0581104167644726,1.045063825327626,1.0696888966083526
2024-04-26,1.06937,1.07297,1.0581104167644726,1.0449665810777018,1.0725907528054714
2024-04-29,1.07196,1.06937,1.0581104167644726,1.0448693368277773,1.0691393907821178
2024-04-30,1.06664,1.07196,1.0581104167644726,1.0447720925778528,1.071540728917122
2024-05-01,1.07168,1.06664,1.0581104167644726,1.0446748483279285,1.0662163884592057
2024-05-02,1.07253,1.07168,1.0581104167644726,1.044577604078004,1.0712631380081177
2024-05-03,1.07628,1.07253,1.0581104167644726,1.0444803598280796,1.0720968893605471
2024-05-06,1.07693,1.07628,1.0581104167644726,1.044383115578155,1.0756271323513984
2024-05-07,1.0754299999999999,1.07693,1.0581104167644726,1.0442858713282308,1.0766558443814516
2024-05-08,1.07463,1.0754299999999999,1.0581104167644726,1.0441886270783063,1.0755621754848956
2024-05-09,1.07818,1.07463,1.0581104167644726,1.044091382828382,1.0748927451574801
2024-05-10,1.07692,1.07818,1.0581104167644726,1.0439941385784575,1.077573214251995
2024-05-13,1.07894,1.07692,1.0581104167644726,1.043896894328533,1.0768386077976229
2024-05-14,1.0819,1.07894,1.0581104167644726,1.0437996500786086,1.078751507872343
2024-05-15,1.08834,1.0819,1.0581104167644726,1.0437024058286841,1.0817694153130055
2024-05-16,1.08666,1.08834,1.0581104167644726,1.0436051615787598,1.0881064027011396
2024-05-17,1.08696,1.08666,1.0581104167644726,1.0435079173288353,1.086442113776207
2024-05-20,1.08569,1.08696,1.0581104167644726,1.043410673078911,1.086869880080223
2024-05-21,1.08534,1.08569,1.0581104167644726,1.0433134288289865,1.0855645231086015
2024-05-22,1.08215,1.08534,1.0581104167644726,1.043216184579062,1.0852177334332467
2024-05-23,1.08138,1.08215,1.0581104167644726,1.0431189403291377,1.0818485860496758
2024-05-24,1.08456,1.08138,1.0581104167644726,1.0430216960792131,1.081178706189394
2024-05-27,1.08587,1.08456,1.0581104167644726,1.0429244518292888,1.0844982642030716
2024-05-28,1.08559,1.08587,1.0581104167644726,1.0428272075793643,1.0857412014377117
2024-05-29,1.08003,1.08559,1.0581104167644726,1.04272996332944,1.0854776053196193
2024-05-30,1.08317,1.08003,1.0581104167644726,1.0426327190795155,1.0796356399476528
2024-05-31,1.08489,1.08317,1.0581104167644726,1.042535474829591,1.0832523810648917
2024-06-03,1.0902,1.08489,1.0581104167644726,1.0424382305796667,1.0848566331267355
2024-06-04,1.08781,1.0902,1.0581104167644726,1.0423409863297421,1.090202729201317
2024-06-05,1.08687,1.08781,1.0581104167644726,1.0422437420798178,1.0876356491965056
2024-06-06,1.08891,1.08687,1.0581104167644726,1.0421464978298933,1.086786819269657
2024-06-07,1.08014,1.08891,1.0581104167644726,1.042049253579969,1.0888882571285963
2024-06-10,1.07644,1.08014,1.0581104167644726,1.0419520093300445,1.0793974253821375
2024-06-11,1.07396,1.07644,1.0581104167644726,1.04185476508012,1.075904000477791
2024-06-12,1.0809,1.07396,1.0581104167644726,1.0417575208301957,1.0734797104287148
2024-06-13,1.07383,1.0809,1.0581104167644726,1.0416602765802712,1.0812232929825782
2024-06-14,1.07052,1.07383,1.0581104167644726,1.0415630323303469,1.0732233581864834
2024-06-17,1.07335,1.07052,1.0581104167644726,1.0414657880804223,1.0703594591617582
2024-06-18,1.07387,1.07335,1.0581104167644726,1.041368543830498,1.073575837558508
2024-06-19,1.07437,1.07387,1.0581104167644726,1.0412712995805735,1.0740557501709462
2024-06-20,1.07018,1.07437,1.0581104167644726,1.041174055330649,1.074560575428009
2024-06-21,1.06923,1.07018,1.0581104167644726,1.0410768110807247,1.070115255485773
2024-06-24,1.07344,1.06923,1.0581104167644726,1.0409795668308002,1.0692503939437865
2024-06-25,1.07128,1.07344,1.0581104167644726,1.0408823225808759,1.0736284910011291
2024-06-26,1.06788,1.07128,1.0581104167644726,1.0407850783309514,1.071132435107231
2024-06-27,1.07028,1.06788,1.0581104167644726,1.040687834081027,1.0677160360336304
2024-06-28,1.07125,1.07028,1.0581104167644726,1.0405905898311025,1.0701325090599059
2024-07-01,1.07393,1.07125,1.0581104167644726,1.040493345581178,1.0710859655588865
2024-07-02,1.07452,1.07393,1.0581104167644726,1.0403961013312537,1.073647198446989
2024-07-03,1.0788,1.07452,1.0581104167644726,1.0402988570813292,1.0742235292935371
2024-07-04,1.0811,1.0788,1.0581104167644726,1.0402016128314049,1.0780650982618332
2024-07-05,1.08388,1.0811,1.0581104167644726,1.0401043685814804,1.0805915151536465
